Mitogenomes	sample	Morphpspecies_Image	Image_Family	Image_Subfamily	Site_ID	Site	Collection_method	Collection_year	Country
BIOD02240	BIBC_BIP27_B04	MS2514	Staphylinidae		PC	Poring	FIT1		Malaysia
BIOD02278	BIBC_BIP22_C11	MS2052	Staphylinidae	Staphylininae	PA	Poring	FIT1		Malaysia
BIOD02307	BIBC_BIP14_E01	MS1297	Staphylinidae	Osoriinae	PA	Poring	WINKLER		Malaysia
BIOD02314	BIBC_BIP15_F09	MS1413	Staphylinidae	Scaphidiinae	PD	Poring	BEATING		Malaysia
BIOD02349	BIBC_BIP11_G05	MS1037	Staphylinidae	Osoriinae	PB	Poring	WINKLER		Malaysia
BIOD02383	BIBC_SOP2_F10	Tach1	Staphylinidae	Tachyporinae		Danum Valley			Malaysia
BIOD02392	BIBC_BIP29_B12	MS2714	Staphylinidae	Aleocharinae	PD	Poring	FIT2		Malaysia
BIOD02402	BIBC_BIP13_G04	MS1228	Staphylinidae	Staphylininae	PA	Poring	WINKLER		Malaysia
BIOD02413	BIBC_BIP20_C07	MS1855	Staphylinidae	Scydmaeninae	PB	Poring	FIT2		Malaysia
BIOD02415	BIBC_BIP19_G09	MS1809	Ptiliidae		PB	Poring	FIT2		Malaysia
BIOD02427	BIBC_BIP27_C01	MS2523	Staphylinidae		PC	Poring	FIT1		Malaysia
BIOD02468	BIBC_BIP22_H11	MS2113	Leiodidae		PA	Poring	FIT1		Malaysia
BIOD02469	BIBC_BIP23_B06	MS2132	Staphylinidae	Scaphidiinae	PA	Poring	FIT1		Malaysia
BIOD02470	BIBC_BIP29_B01	MS2703	Leiodidae		PD	Poring	FIT2		Malaysia
BIOD02472	BIBC_BIP29_B02	MS2704	Staphylinidae	Pselaphinae	PD	Poring	FIT2		Malaysia
BIOD02487	BIBC_SOP1_B09	Paed3	Staphylinidae	Paederinae		Danum Valley			Malaysia
BIOD02489	BIBC_SOP2_D04	Oxyt13	Staphylinidae	Oxytelinae		Danum Valley			Malaysia
BIOD00521	BIBC_BIP25_D11	MS2353	Staphylinidae	Aleocharinae	PC	Poring	FIT1		Malaysia
BIOD02517	BIBC_BIP09_B12	MS792	Staphylinidae	Paederinae	PC	Poring	BEATING		Malaysia
BIOD02519	BIBC_BIP17_H12	MS1632	Staphylinidae	Paederinae	PB	Poring	FIT2		Malaysia
BIOD02523	BIBC_BIP27_C03	MS2525	Staphylinidae	Scydmaeninae	PC	Poring	FIT1		Malaysia
